,id
1814,1193856129249492992
1815,1193871516850642944
1816,1193888745914654720
1817,1194105504710217729
1818,1194122534783987712
1819,1194162916116901891
1820,1194189805862735872
1821,1194191213760528385
1822,1194210623653068800
1823,1194229638425432066
1824,1194230732144574464
1825,1194263893348175873
1826,1194264095752503297
1827,1194302686369325062
1828,1194322882949779456
1829,1194330196251488259
1830,1194364798407852032
1831,1194371080170983424
1832,1194373823912538112
1833,1194387339642068993
1834,1194409660222189569
1835,1194415935890894848
1836,1194448854302756864
1837,1194527254321213440
1838,1194534984217976833
1839,1194538655441924096
1840,1194543352265543680
1841,1194545977866276866
1842,1194549297121046528
1843,1194553538237673472
1844,1194556245761515521
1845,1194561950136487941
1846,1194581702573772800
1847,1194584990203269122
1848,1194593260863229953
1849,1194622194493489152
1850,1194660033138741249
1851,1194661580539125762
1852,1194673418643394562
1853,1194691575525388294
1854,1194713487798349827
1855,1194753007159828480
1856,1194783777597333505
1857,1194849238003462151
1858,1194903044691046401
1859,1194918082948554752
1860,1194932484758110208
1861,1194944899633876992
1862,1194955640168275968
1863,1194961950905700352
1864,1194979977525157888
1865,1194989388884783104
1866,1194999774606479360
1867,1195020090108006405
1868,1195024712360976384
1869,1195030565948284928
1870,1195040340144721920
1871,1195044172660695041
1872,1195047113056497665
1873,1195086455816826889
1874,1195114706110803968
1875,1195155364917981184
1876,1195181464922546176
1877,1195319311344246790
1878,856078573567971329
1879,872437880622391296
1880,1194659763965038592
1881,1194660039727947777
1882,1195389486659776512
1883,1195155033123434497
1884,1186611272231636992
1885,1100683974899363840
1886,1195438231958872064
1887,1195253967271473153
1888,1194537536699293699
1889,1195088230393294856
1890,1195123215657508867
1891,1194641019050041345
1892,1195086903705579529
1893,1189656306988261376
1894,1195315547015122945
1895,1195117347964506113
1896,1195485447109193730
1897,1193831987838148608
1898,1195056958912565253
1899,1193591732795052033
1900,1195356198347956224
1901,1195353721808596997
1902,1195287956694675458
1903,1194815177079820293
1904,1195286672524664832
1905,1194939056519430144
1906,1183178297716248577
1907,1194830580896145408
1908,1194383429879705601
1909,1191972568011550728
1910,1192153470285037568
1911,1195202558643490816
1912,1194527415890055170
1913,1195437903876255744
1914,1195145200072413185
1915,1190684881568882690
1916,1188143277993795584
1917,1193330241478901760
1918,1195456725907886082
1919,1195389483664990208
1920,1194212994470809601
1921,1195652208068575237
1922,618055823953149952
1923,1154799297696804869
1924,1195585662981947394
1925,1191824848978358274
1926,1195474246715281408
1927,863007411132649473
1928,1195105197502148609
1929,1192540900393705474
1930,1194877781362061313
1931,1127342552745762816
1932,1088418271194464256
1933,1143052551446827008
1934,1104050224052396032
1935,1037159771416276992
1936,1067969932284084224
1937,1144390048172974081
1938,1147953381966778368
1939,1148623590650236928
1940,1148705150854467585
1941,1150059771397058560
1942,1150079557413867523
1943,1150381394234941448
1944,1176603402106789888
1945,1187838293104304130
1946,1188308642505875457
1947,1191718159583240192
1948,1192807008430436357
1949,1193170999296057344
1950,1193325976463261696
1951,1193537967236759552
1952,1193891291953807360
1953,1194037805237694464
1954,1194214553053253632
1955,1194572179846946817
1956,1194584990203269122
1957,1194671109679046658
1958,1194694557713272832
1959,1194995544860610560
1960,1195101187680407555
1961,1195118445735632898
1962,1195124641800577024
1963,1195217634561810432
1964,1195356211937468417
1965,1195367141064822784
1966,1195369929811406855
1967,1195380434575728642
1968,1195396189824409600
1969,1195400432220352518
1970,1195404484517748736
1971,1195507635803439104
1972,1195523471721271297
1973,1195536921881141248
1974,1195536925383430146
1975,1195538308937338881
1976,1195561930112389120
1977,1195612627571007488
1978,1195698535271927808
1979,1195707779413086210
1980,1195723728761561088
1981,1195731614464200704
1982,1195748611683966977
1983,1195761582422278149
1984,1195774815069622273
1985,1195775905907576832
1986,1195792646922477568
1987,1195830523970621441
1988,1195847370019426305
1989,1195854425086210048
1990,1195866091068764160
1991,1195949575166521346
1992,1195987689679536128
1993,1196016908446752768
1994,1196029606526107649
1995,1196063349844430849
1996,1196078631325458437
1997,1196080086686011398
1998,1196109871784984576
1999,1196134539766185984
2000,1196135443756023808
2001,1196145444792999936
2002,1196147101459046400
2003,1196148537525977088
2004,1196155347117002752
2005,1196158097628303361
2006,1196167460501671936
2007,1196172064899653638
2008,1196200825766453248
2009,1196348640190697472
2010,1196363287224557568
2011,1196366347938271232
2012,1196378461880885248
2013,1196382403771670528
2014,1196401367029555204
2015,1196421935078359042
2016,1196424208298975232
2017,1196425921802178560
2018,1196425928768929792
2019,1196428576352026626
2020,1196457098911068166
2021,1196458467982270464
2022,1196470349942136833
2023,1196492012779966465
2024,1196514739498704896
2025,1196515143808700417
2026,1196538726257692682
2027,1196553520201248768
2028,1196622626581446657
2029,1196624143980072961
2030,780231554236678144
2031,959509285167419394
2032,1045367524920045568
2033,1067943855398551555
2034,1069662427850178561
2035,1073312030575263745
2036,1076371631130451968
2037,1076465907898220544
2038,1110649744681062400
2039,1157316435221405697
2040,1189634360472829952
2041,1189924407034175488
2042,1191687950360358913
2043,1192021386530902016
2044,1192032759113498624
2045,1192936618832744448
2046,1193038094028754944
2047,1193422616016519168
2048,1193665354729431040
2049,1193928787857039362
2050,1193982431638032388
2051,1194371080170983424
2052,1194373065918074881
2053,1194704507042779136
2054,1195264769009295361
2055,1195374444300029957
2056,1195384905477177344
2057,1195458854617862144
2058,1195527674330001408
2059,1195555329209241600
2060,1195777715544166401
2061,1195986700880764929
2062,1196042002472718336
2063,1196118228944248833
2064,1196171051350319104
2065,1196173447992430592
2066,1196200188743802880
2067,1196204672295456768
2068,1196238026864812035
2069,1196238499369885696
2070,1196304576065888256
2071,1196322036055973888
2072,1196425019510984706
2073,1196429520267620353
2074,1196458106970091523
2075,1196490216112037888
2076,1196503550064508928
2077,1196521392822464517
2078,1196529376915066881
2079,1196537378367778816
2080,1196549251758788609
2081,1196560363875160070
2082,1196579857762783233
2083,1196641189476421632
2084,1196669432359247872
2085,1196720408793374721
2086,1196734263963607041
2087,1196748617312358400
2088,1196754455611551745
2089,1196754495197339648
2090,1196755882975145986
2091,1196785809158004736
2092,1196802017777344512
2093,1196810377440497664
2094,1196823330143244290
2095,1196834989675036672
2096,1196837194087972864
2097,1196843205884383232
2098,1196845403129421824
2099,1196848072929796096
2100,1196856621424685065
2101,1196860213233684480
2102,1196870032099364864
2103,1196872941809651712
2104,1196887778736390146
2105,1196888497300418561
2106,1196894898940715010
2107,1196895054482280448
2108,1196895466811731968
2109,1196896516306284547
2110,1196898105440034816
2111,1196901668337651713
2112,1196943119499046914
2113,1196973332689833985
2114,1196987494870462464
2115,1197011837767827458
2116,1197012290756907008
2117,1197027717386063872
2118,1197056706498486272
2119,1197062755313958913
2120,1197076939116306432
2121,1197077941940883458
2122,1197097095355871232
2123,1197114936448765952
2124,1197119013022818305
2125,1197172214367506432
2126,1197183359228817409
2127,1197217636662337536
2128,1197302170594553857
2129,887641703817121793
2130,1197428659310780417
2131,1197495536246542337
2132,1196964856299229184
2133,1197331818543865856
2134,1197331475722645505
2135,1197455798911275008
2136,1197252819054522368
2137,1197550571831668737
2138,1197467875033931781
2139,1197440235438780422
2140,1197253332244385793
2141,1197311363074416640
2142,1043503727150293003
2143,1118479397659578368
2144,1137487016399179777
2145,1146430380981067777
2146,1150811281047375872
2147,1171455806069305346
2148,1174020581307629572
2149,1176262794586533894
2150,1183016899589955584
2151,1183744344794320896
2152,1191850257161826304
2153,1193596484991832065
2154,1194456836767916032
2155,1194603846321897477
2156,1195048643667144704
2157,1195146503934763008
2158,1195877326346686464
2159,1196099490274365440
2160,1196698183771906048
2161,1196718986249035776
2162,1196806827242999808
2163,1196901499336626183
2164,1196921922451312641
2165,1197053228921344001
2166,1197090282057216000
2167,1197105369480228864
2168,1197113471546134530
2169,1197118560092512256
